DP1_0001C,DP4_0001C,DP1_0135C,DP3_0151C,DP3_0005C,DP4_0125C,DP4_0126C,DP2_0008C,DP2_0009C,DP3_0068C,DP1_0024C,DP1_0002C,DP1_0003C,DP1_0004C,DP1_0005C,DP2_0102C,DP1_0141C,DP1_0143C,DP2_0178C,DP2_0182C,DP2_0185C,DP2_0188C,DP2_0191C,DP2_0151C,DP4_0022C,DP4_0023C,DP4_0024C,DP4_0025C,DP4_0083C,DP4_0084C,DP4_0077C,DP1_0128C,DP3_0151P,DP3_0009P,DP4_0125P,DP4_0126P,DP2_0008P,DP2_0009P,DP3_0068P,DP1_0024P,DP1_0002P,DP1_0003P,DP1_0004P,DP1_0005P,DP2_0101P,NAME_x,state,place,DP1_0141P,DP1_0143P,DP2_0178P,DP2_0182P,DP2_0185P,DP2_0188P,DP2_0191P,DP2_0151P,DP4_0022P,DP4_0023P,DP4_0024P,DP4_0025P,DP4_0083P,DP4_0084P,DP4_0077P,DP1_0128P,NAME_y
3238,991,952,533.0,155.0,29.0,89.0,52.0,204.0,438.0,344,223,254,272,264,432.0,49,84,344.0,76.0,136.0,71.0,57.0,711.0,19.0,133.0,54.0,3.0,115.0,70.0,35.0,5,16.6,10.6,4.8,14.8,2.6,10.4,13.8,10.6,6.9,7.8,8.4,8.2,100.0,,66,55350,5.1,8.8,11.4,5.7,10.2,5.3,4.3,100.0,1.9,13.4,5.4,0.3,12.1,7.4,3.7,0.2,
1302,423,366,336.0,61.0,8.0,31.0,33.0,146.0,278.0,137,73,92,99,134,217.0,13,29,241.0,40.0,82.0,101.0,17.0,341.0,1.0,0.0,0.0,5.0,55.0,29.0,21.0,16,26.1,11.5,3.6,13.9,4.2,18.4,21.9,10.5,5.6,7.1,7.6,10.3,100.0,,66,56300,3.6,7.9,19.9,6.1,12.6,15.5,2.6,100.0,0.2,0.0,0.0,1.2,15.0,7.9,5.7,1.2,
596,206,171,147.0,37.0,4.0,11.0,13.0,63.0,82.0,62,52,41,45,52,69.0,6,16,45.0,13.0,9.0,21.0,1.0,105.0,7.0,0.0,0.0,1.0,19.0,14.0,14.0,0,24.8,13.8,4.3,12.0,3.6,17.2,14.1,10.4,8.7,6.9,7.6,8.7,100.0,,66,58600,3.5,9.4,8.3,4.7,3.3,7.7,0.4,100.0,3.4,0.0,0.0,0.5,11.2,8.2,8.2,0.0,
973,279,248,152.0,37.0,6.0,25.0,13.0,66.0,109.0,137,73,78,81,70,141.0,11,23,75.0,38.0,21.0,11.0,5.0,114.0,0.0,0.0,0.0,0.0,31.0,22.0,6.0,0,15.8,9.2,3.3,13.9,2.2,11.1,11.5,14.1,7.5,8.0,8.3,7.2,100.0,,66,61850,4.4,9.3,8.4,9.7,5.4,2.8,1.3,100.0,0.0,0.0,0.0,0.0,12.6,8.9,2.4,0.0,
1813,554,516,319.0,93.0,12.0,45.0,35.0,110.0,269.0,242,139,186,131,113,285.0,12,48,146.0,60.0,24.0,48.0,14.0,283.0,9.0,12.0,1.0,0.0,47.0,25.0,30.0,0,17.7,11.8,4.1,15.4,3.1,9.6,15.1,13.3,7.7,10.3,7.2,6.2,100.0,,66,65100,2.3,9.3,8.8,7.6,3.1,6.1,1.8,100.0,1.6,2.2,0.2,0.0,9.1,4.9,5.8,0.0,
3807,1222,999,558.0,167.0,14.0,71.0,120.0,192.0,771.0,383,251,267,326,318,519.0,32,73,696.0,42.0,496.0,129.0,24.0,1706.0,20.0,4.0,0.0,3.0,128.0,69.0,27.0,10,14.8,9.7,2.4,12.2,5.1,8.2,21.0,10.1,6.6,7.0,8.6,8.4,100.0,,66,66800,3.2,7.3,19.7,1.8,21.8,5.7,1.1,100.0,1.6,0.3,0.0,0.2,12.9,6.9,2.7,0.3,
2279,574,541,463.0,115.0,17.0,58.0,35.0,143.0,299.0,225,179,218,235,174,283.0,22,31,130.0,58.0,20.0,40.0,9.0,227.0,0.0,1.0,0.0,3.0,54.0,62.0,30.0,7,20.5,13.3,4.5,15.2,2.7,11.0,13.5,9.9,7.9,9.6,10.3,7.6,100.0,,66,69000,4.1,5.7,6.2,6.3,2.2,4.3,1.0,100.0,0.0,0.2,0.0,0.5,10.0,11.5,5.6,0.3,
3892,1855,1493,788.0,187.0,18.0,132.0,80.0,132.0,802.0,513,253,281,295,204,359.0,28,122,932.0,33.0,241.0,142.0,481.0,1877.0,147.0,283.0,497.0,1.0,117.0,56.0,78.0,23,20.4,10.0,3.4,25.2,3.0,5.0,21.3,13.2,6.5,7.2,7.6,5.2,100.0,,66,70950,1.9,8.2,25.8,1.4,10.0,5.9,19.9,100.0,7.9,15.3,26.8,0.1,7.8,3.8,5.2,0.6,
2443,724,598,706.0,118.0,11.0,35.0,45.0,149.0,387.0,197,277,266,229,172,349.0,20,71,436.0,85.0,101.0,200.0,41.0,609.0,70.0,52.0,14.0,1.0,101.0,53.0,45.0,24,29.4,13.1,4.0,12.8,3.4,11.4,16.3,8.1,11.3,10.9,9.4,7.0,100.0,,66,73550,3.3,11.9,20.4,7.3,8.6,17.1,3.5,100.0,9.7,7.2,1.9,0.1,16.9,8.9,7.5,1.0,
2072,1305,1046,,,,,,,,371,81,65,76,58,,19,23,,,,,,,,,,,,,,126,,,,,,,,17.9,3.9,3.1,3.7,2.8,,,66,75500,1.8,2.2,,,,,,,,,,,,,,6.1,
